Job_Title,Company_Name,Company_Location,Job_Snippets,Job_Posted_Date,Salary_Details,Job_Pagelink
Quality Assurance Engineer,Oportun Inc,"Remote in Chennai, Tamil Nadu","['Providing feedback to developers on testing results.', 'Advanced programming skills (SQL, python, Shell scripting, Spark SQL and spark scripting).']",['Posted\n13 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_oHR7jvpN5HR3CqZ22aILZ6qFd8EwL-InkRw-v0cCtKCQG5JyEvqri0xY07optJvYjsHOO6edqj-Kn0Lp-4JipFOyT6c_NPxxDdGqbwD8pPH4Rj5XTyO44XC5YPkUe2dis2ydXIxWtXQahVYKyphpAgGEulnpU-rLakYMVBfvSVzaPnnekAv0hXZKowlhWcWfWbo8nzCQhynv5WIrKiSR2LGb9hs5VvWvdz1c4pipUEckZVDLBGyCUDPKUk8K5l7Xv5_7KiykBT7i_pr4nuAW039BTR3YWq-uYxzaOUWm4YuFc2bCHAx8GYwMOE4guxlHmRl_rx7c_DmHIMjYvQX2OVdbd0fZDy1IOaIORXAwtmqcfAP-4K9u31IHSGRXOjMRRmcrgenKGRvxx4XVh50aityW4WGyuKXAa5hQIN1Xl3U4InopQC1MsUIor-s0ueWqXD1CB08HOuD0qUo8FvP6I8inpPu3dQLk6m9ZAkERhVvPLUqQyYdLr0gBT8V2DDbvfhAcNF4aWtcsY7FYI6nT7CrFvRpGIgCQtsmjTqntbuM4a6emRlXFuFtvHQMuoC-htijR8aHxHFmH9J_FhddU0JP-rv1BccYe2thU--B5fqYKAubrpLJAVGdmbwBJ6VhdvbEFoQHe7J6biBUCeW_OCcyZ40bEFr6y7b27J2xhCh6ChBdROLVrndYC0ACBGp0elGROTt8mppO88Otg_tlhxIEUDqEDGbohT429RNxpH83TuP7a-OJUtyTsLCiPYl3DRzS7mHq17TvtHTQ6rlU2dseHgs4khqqQv-dGMZMmcayoTqB4LXImkuKW2PoQQdLVnBCv-5kA1nKQa-PTYbpIWw-LMrwR0UNGbjiz_OU6-VRrWc04VUTDof5apH3UuUjpIDGdSOQpuIBL2hBoMyfD&p=0&fvj=0&vjs=3
iOS Developer,Numerator,Remote in India,"['Must have a Bachelors Degree in Computer Science, Computer Engineering, Software Engineer,.', 'A Masters Degree in one of the above disciplines highly preferred.']",['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwhvtDhhMuSGvOgpEtJTRru83A1sJLDjPPZCOp3agw_UPR1rdTPXQozwbrGqxT83q6TMJ1HXyM1xHpwme4nGrksnBCxr26ZC-R4UZ29g_JTF-02a13fuR1ul9LjG96dJ7w-Gg0tDYmjykGfQ0V7Ar1zQifzZDbbojWoJDtvI0cS-skFkRZiJ1Ez12-Zh_6F90crzBbdyY5N3Oln-3GG_vRyva-4WFMBV-muf01Nx4mrCqeyaPea9hEgInenLuLbCqjEeKA4Zd43llLlxG5D6b1SfIUfJP3DS-zS_uKgjEB0FAGGEZF9S1lQYNXP1hxYYYlHrvoWWPVKz0IT-Tj44EeEb34HVp-SCl1Sjsj38klP-0VMWmAl_EqjuM-wAsVew4bd-L0L5RiOOm6457d7LHNIlIPZZcM21PxLrvX3fTzvneS0cRApYw-_orntIkA4GnRlVchIF5evSvQ2iTOv-WFp1IFOm9kgtS-QcUokd_uyG2RL14okxDnPwKl4fhkjTKmwCT5pwWoOd4U33nbjhxgHeQKUh4UORqzVcUUJNe0yjE9hrPaUWV5JsvhV9zBtk-sGiqmkfxPvsLqMbswh2Sbn26A4yshOEckttIqvFUKxg==&p=1&fvj=0&vjs=3
Python Developer,Deloitte,"Chennai, Tamil Nadu","['Proficient in Python, Spark (Pyspark), and SQl, Microservices python.', 'We work with specialists in many areas, and we apply our solutions to a wide range of…']",['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=f6247613e5aff182&fccid=9e215d88a6b33622&vjs=3
Python Developer,Acme Hr Consulting,"Remote in Chennai, Tamil Nadu","['Good to have experience in Data Engineering.', 'Git, GitHub and Git Flow.', 'Should have the understanding of software design pattern implementation.']",['Employer\nActive 7 days ago'],"₹5,00,000 - ₹14,00,000 a year",https://in.indeed.com/company/Acme-Infosystem-Professionals/jobs/Python-Developer-85a9c82ed4b85ede?fccid=0b4f457d13ee80d2&vjs=3
Backend Developer,Lead Integrated Business Services,"Valasaravakkam, Chennai, Tamil Nadu","['Analytical, results-driven Back-end Developer who will work with team members to troubleshoot and improve current back-end applications and processes.']",['Employer\nActive 2 days ago'],"₹25,000 - ₹65,000 a month",https://in.indeed.com/company/LEAD-Integrated-Business-Services/jobs/Backend-Developer-311a05e80a432611?fccid=2c7e66090538c2a7&vjs=3
Python Developer,HAQTO TECHNOLOGIES,"Chennai, Tamil Nadu","['Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.']",['Employer\nActive 2 days ago'],"₹5,00,000 - ₹10,00,000 a year",https://in.indeed.com/company/Haqto-Technologies/jobs/Python-Developer-5e84efbd3c89eedb?fccid=c62742871dba318c&vjs=3
Snowflake Developer,Intellecto Global Services,"Remote in Chennai, Tamil Nadu","['This is a part time opportunity and candidate should work 2 hours daily monday to friday.', 'Preferred Skills: Cloud Platform- >Snowflake.']",['Employer\nActive 3 days ago'],"₹25,000 - ₹28,000 a month",https://in.indeed.com/company/GLIM-TECHNOLOGIES/jobs/Snowflake-Developer-84e0a4ec03c96c50?fccid=3e29f27a66c997cf&vjs=3
Software Developer Trainee,Appasamy Associates,"Arumbakkam, Chennai, Tamil Nadu",['We are looking for Software developer Trainee in C/C++ who are responsible for building applications in embedded systems.'],['Employer\nActive 2 days ago'],Not Issued,https://in.indeed.com/company/Appasamy-Associates/jobs/Software-Developer-Trainee-b23afe33d6fc25f6?fccid=88b63b01f2fa0ada&vjs=3
Python/Django Developer,WebDios Technologies,"Remote in Adyar, Chennai, Tamil Nadu","['1 to 3 years of experience building web applications and RESTful APIs in Python and Django Strong algorithmic, data structures and computational complexity.']",['Employer\nActive 4 days ago'],"₹1,00,000 - ₹2,50,000 a year",https://in.indeed.com/company/WebDios-Technologies/jobs/Python-Django-Developer-dbb3a5508797b6cc?fccid=ef7c38e43097da07&vjs=3
Python Qt Developer,Hub Work,"Chennai, Tamil Nadu","['Design, code and deliver UI capabilities using Qt that would interact with backend python functionalities seamlessly.', 'Strong Programming Skills in Python.']",['Posted\n10 days ago'],"₹1,20,000 - ₹3,00,000 a year",https://in.indeed.com/company/Hub-Work/jobs/Python-Qt-Developer-db5a3c93c56b5b56?fccid=6ffe0472f185e23f&vjs=3
Senior Python Developer,TVS Next,"Hybrid remote in Chennai, Tamil Nadu",['Partner with internal and external partners to develop the core systems and create APIs that power our best in class user experiences.'],['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=fdf9343a09611d5e&fccid=83a42c889f63ae2e&vjs=3
Python Developer,IBST Private Limited,"Chennai, Tamil Nadu","['Experience 3+ years of experience in Java with exceptional core Java skills & Python.', 'Working Experience of 2+ years in eclipse plug-in development, EMF, RCP.']",['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=9447d7da4e49657f&fccid=39fccf55504681f3&vjs=3
Software Developer,PONTUS GROUP OF COMPANIES,"Chennai, Tamil Nadu","['The candidate will be required to Design, Configure, Build, Test, Deploy and Maintain ERPNext and Frappe based applications:']",['Employer\nActive 8 days ago'],"₹12,000 - ₹16,000 a month",https://in.indeed.com/company/PONTUS-GROUP-OF-COMPANIES/jobs/Software-Developer-ea073f5c7cf48cbc?fccid=7921e8b300ef9655&vjs=3
Java Developer,Walmart,"Chennai, Tamil Nadu","['We use technology to operate smarter and deliver everyday low prices (EDLP) to customers and members.', 'Retail and Emerging Tech: This is the team which builds…']",['Posted\n25 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHE8eZVK8zpxpcKaz6gNicGur_-pQkyWfjw-npqg_K-QryGP_dlgwLolcQgryWW6oGntO-itvYecz8PI-x2De5EicKhlVRFfxGVJjtZG-8lTiZs2ZjlLOnz0dDOem2K0p1FDOGpPDZ75pS4rpEHPblpfUe4vYuOfGjy14MOgSx-xNNu2yVR3GMCUpH1kGV3dMq1YPam0Z3MyzZQT_0oRnqPA77dprb7RkigplVrhAVx-U_2f-97ScfJFsQJg-JW8pPkBAvg_NYm4jexbcMBo0VQZL5hbCkpVlHD7jck1Xk7fZcNRsWd3i0GsnQm02pzLAlnLFEEI-v-8G9llfrgKqDxOz8XmSSPJG_Rq5J6b9tn16uDTF_tjPasqKWAqOW7zTWb6uGYmdDsXNjW5BEU4N5S1MBQyWUioHYT_pdhHiBWYebtyXtqe9qVN-B6WImtvXmS8Bq1qxfdNs3-ldJqtuWzmlZA8frlJwYlV878TZTUtHjJZ34WhoehFC3clTulf5sfxj_O6PP4Ki_TS99fHyfqno2vbs3ID6bMK6ginr6jBi-LpCWaasa9ONnME9yQ5QWVXlhuAQF5c1qqIDQ-8_7cDRbCeE4Jm9KqbQTEwRZ3UF2lBo1WeCZT-0lxiWjUqIMHhSyiPP72VwGXB8QUv70gEpSRE_4vjgshtNpam2VcuJVpEIyR-thoQvVX2PlkbNHXZsWk6DGFzH&p=13&fvj=0&vjs=3
Devops Engineer,Walmart,"Chennai, Tamil Nadu","['Configured SCM tools like Git for developers to check in their codes.', 'We use technology to operate smarter and deliver everyday low prices (EDLP) to customers…']",['Posted\n14 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHE8eZVK8zpxpcKaz6gNicGvWWdWpC1Z8yro4aI4hXQMsPAz0CscWDL8gNBSybQ1W8PmKTvj3F4MBuLO7iiJgQs0ogfxMK97QA8FRUBCafURnqEmVzlOQpy3y8l4-ckfa0W4x9m-pQErrl3Z4oRdx5sJtonvLCVHjh4Rdz-5KV4sLnupOnOZUn9y1ufvZrCwC0aeoP86PkhtWRMLWMH-R7V_iYNvVwXlO9Xl2Qqoj-O7OmJtIyh2HZau-AWJGT54KwKTiLL7EFX0Q0ywDGJvfx9htjgXHKTpP3CgkinzBlseuyt0MADlG4JfzWeeAfI8P3L01rG4me2a8o0uRcmk8R_zSLWa6GxOFKYWCmvHDd4oGRgK92PI1pFyt9nyWGkMW2iYEqWzoj0cKsKx5I79I5MLXhtNeRv9kYGuMn5e6JWAcKAgB6gZ4Euirt7eCbQ_sxpaEyd_FqY9thz1vFwW2widF_ugTt_-6iA7n_VHksr2QViEbtEP56spVlr7H5eWXgQH82EqG7NwCjAYGpCYwgQR8sT0X46Hc4NRcQVi5OmgICQj67by6uBh7gXDHk2RA1pCSjZ6wdP3uMvs7DZJsAhndCd3ziQ9xC5bZWyuAXo8k4KYwFbIBjjsc3inauVNoLKz6xq9RPm_bEaTRGo0ImQGWk0ymOMh5RTJC9FGPB9M7W8qt1bW_WKujvDYO1UEuxA==&p=14&fvj=0&vjs=3
